DriveType	DriveSerialNumber	VolumeLabel	LocalPath	NetworkPath	RelativePath	AppIdCode	AppIdName	BaseName	FileExt	DLE_EntryNum	DLE_BirthDroidVolId	DLE_BirthDroidFileId	DLE_DroidVolId	DLE_DroidFileId	DLE_LastModificationDatetime	DLE_Hostname	DLE_Path	CreationDateTime	ModificationDateTime	AccessDateTime	Codepage	CmdArgs	Description	EnvVarLoc	Flags	FileSize	IconLoc	ParentLongName	ParentEntryNum	ParentSeqNum	WorkingDir	Source	LnkTrgData
DRIVE_FIXED;	7e58-aab0	Windows8_OS	C:\Users\Donald\AppData\Roaming\Microsoft\Windows\Start Menu\Asgard Venture Capital, Inc. Team Site - Home.website	\\BIFROST\Users\Donald\AppData\Roaming\Microsoft\Windows\Start Menu\Asgard Venture Capital, Inc. Team Site - Home.website		d53aec6c82c7bb74		Asgard Venture Capital, Inc. Team Site - Home.website	website									10/07/2013 08:29:44.803771	10/07/2013 08:29:45.330865	10/07/2013 08:29:44.803771	cp1252	-private			Archive;	581	%SystemRoot%\SYSTEM32\IEFRAME.dll	Start Menu	232365	3		F:\SANS408\Donald_Blake_Evidence\C-Drive\Extracts\SANS408\p1-sys\jumplists\10371.Donald.d53aec6c82c7bb74.customDestinations-ms	{'ParentLongName': u'Start Menu', 'DistinctTypesHex': '0x0L;0x31L;0x32L;0x1fL', 'ParentSeqNum': 3, 'DistinctTypesStr': 'item;root_folder;file_entry', 'FileEntries': [{'ShellFolderId': None, 'ShellItemTypeHex': '0x0L', 'Identifier': None, 'Name': None, 'Location': None, 'Comments': None, 'ModificationTime': None, 'ShellItemTypeStr': 'item', 'ExtentionBlockCount': 1, 'Description': None, 'FileSize': None, 'ExtentionBlocks': [{'LongName': u'AppData', 'ExtentionBlockSize': 64L, 'LocalizedName': None, 'SeqNum': 3, 'EntryNum': 232350, 'FileReferenceInt': 844424930364318L, 'AccessTime': '09/23/2013 19:18:00.000000', 'CreationTime': '09/23/2013 19:17:32.000000', 'Signature': '0xbeef0004L', 'RefNum': '232350-3'}]}, {'ShellFolderId': None, 'ShellItemTypeHex': '0x31L', 'Identifier': None, 'Name': u'Roaming', 'Location': None, 'Comments': None, 'ModificationTime': '09/23/2013 19:47:22.000000', 'ShellItemTypeStr': 'file_entry', 'ExtentionBlockCount': 1, 'Description': None, 'FileSize': 0L, 'ExtentionBlocks': [{'LongName': u'Roaming', 'ExtentionBlockSize': 64L, 'LocalizedName': None, 'SeqNum': 3, 'EntryNum': 232353, 'FileReferenceInt': 844424930364321L, 'AccessTime': '09/23/2013 19:47:22.000000', 'CreationTime': '09/23/2013 19:17:32.000000', 'Signature': '0xbeef0004L', 'RefNum': '232353-3'}]}, {'ShellFolderId': None, 'ShellItemTypeHex': '0x31L', 'Identifier': None, 'Name': u'MICROS~1', 'Location': None, 'Comments': None, 'ModificationTime': '09/23/2013 20:41:52.000000', 'ShellItemTypeStr': 'file_entry', 'ExtentionBlockCount': 1, 'Description': None, 'FileSize': 0L, 'ExtentionBlocks': [{'LongName': u'Microsoft', 'ExtentionBlockSize': 68L, 'LocalizedName': None, 'SeqNum': 3, 'EntryNum': 232356, 'FileReferenceInt': 844424930364324L, 'AccessTime': '09/23/2013 20:41:52.000000', 'CreationTime': '09/23/2013 19:17:32.000000', 'Signature': '0xbeef0004L', 'RefNum': '232356-3'}]}, {'ShellFolderId': None, 'ShellItemTypeHex': '0x31L', 'Identifier': None, 'Name': u'Windows', 'Location': None, 'Comments': None, 'ModificationTime': '09/23/2013 19:22:20.000000', 'ShellItemTypeStr': 'file_entry', 'ExtentionBlockCount': 1, 'Description': None, 'FileSize': 0L, 'ExtentionBlocks': [{'LongName': u'Windows', 'ExtentionBlockSize': 64L, 'LocalizedName': None, 'SeqNum': 3, 'EntryNum': 232357, 'FileReferenceInt': 844424930364325L, 'AccessTime': '09/23/2013 19:22:20.000000', 'CreationTime': '09/23/2013 19:17:32.000000', 'Signature': '0xbeef0004L', 'RefNum': '232357-3'}]}, {'ShellFolderId': None, 'ShellItemTypeHex': '0x31L', 'Identifier': None, 'Name': u'STARTM~1', 'Location': None, 'Comments': None, 'ModificationTime': '10/07/2013 08:29:46.000000', 'ShellItemTypeStr': 'file_entry', 'ExtentionBlockCount': 1, 'Description': None, 'FileSize': 0L, 'ExtentionBlocks': [{'LongName': u'Start Menu', 'ExtentionBlockSize': 110L, 'LocalizedName': u'@shell32.dll,-21786', 'SeqNum': 3, 'EntryNum': 232365, 'FileReferenceInt': 844424930364333L, 'AccessTime': '10/07/2013 08:29:46.000000', 'CreationTime': '09/23/2013 19:17:32.000000', 'Signature': '0xbeef0004L', 'RefNum': '232365-3'}]}, {'ShellFolderId': None, 'ShellItemTypeHex': '0x32L', 'Identifier': None, 'Name': u'ASGARD~1.WEB', 'Location': None, 'Comments': None, 'ModificationTime': '10/07/2013 08:29:46.000000', 'ShellItemTypeStr': 'file_entry', 'ExtentionBlockCount': 1, 'Description': None, 'FileSize': 581L, 'ExtentionBlocks': [{'LongName': u'Asgard Venture Capital, Inc. Team Site - Home.website', 'ExtentionBlockSize': 156L, 'LocalizedName': None, 'SeqNum': 5, 'EntryNum': 9165, 'FileReferenceInt': 1407374883562445L, 'AccessTime': '10/07/2013 08:29:46.000000', 'CreationTime': '10/07/2013 08:29:46.000000', 'Signature': '0xbeef0004L', 'RefNum': '9165-5'}]}], 'ExtentionListing': '0xbeef0025L;0xbeef0004L;0xbeef0004L;0xbeef0004L;0xbeef0004L;0xbeef0004L;0xbeef0004L', 'ItemCount': 8, 'ParentRefStr': '232365-3', 'ParentEntryNum': 232365, 'RootFolder': [{'ShellFolderId': u'59031a47-3f72-44a7-89c5-5595fe6b30ee', 'ShellItemTypeHex': '0x1fL', 'Identifier': None, 'Name': None, 'Location': None, 'Comments': None, 'ModificationTime': None, 'ShellItemTypeStr': 'root_folder', 'ExtentionBlockCount': 1, 'Description': None, 'FileSize': None, 'ExtentionBlocks': [{'ExtentionBlockSize': 30L, 'Signature': '0xbeef0025L'}]}]}
DRIVE_FIXED;	7e58-aab0	Windows8_OS	C:\Users\Donald\Documents\Business_Plan_Mail_Order_Pharmacy2.docx	\\BIFROST\Users\Donald\Documents\Business_Plan_Mail_Order_Pharmacy2.docx		fb3b0dbfee58fac8		Business_Plan_Mail_Order_Pharmacy2.docx	docx	27	92abc06b11f16f499067ec5c94ffa9f5	87fa8fdc6b3ae311be8a24fd52566ede	92abc06b11f16f499067ec5c94ffa9f5	87fa8fdc6b3ae311be8a24fd52566ede	10/22/2013 16:33:53.934438	bifrost	C:\Users\Donald\Documents\Business_Plan_Mail_Order_Pharmacy2.docx	10/21/2013 18:39:52.221974	10/21/2013 18:39:57.951604	10/21/2013 18:39:57.832760	cp1252				Archive;	504872						F:\SANS408\Donald_Blake_Evidence\C-Drive\Extracts\SANS408\p1-sys\jumplists\114461.Donald.fb3b0dbfee58fac8.automaticDestinations-ms	{'ParentLongName': None, 'DistinctTypesHex': '0x0L;0x1fL', 'ParentSeqNum': None, 'DistinctTypesStr': 'item;root_folder', 'FileEntries': [{'ShellFolderId': None, 'ShellItemTypeHex': '0x0L', 'Identifier': None, 'Name': None, 'Location': None, 'Comments': None, 'ModificationTime': None, 'ShellItemTypeStr': 'item', 'ExtentionBlockCount': 0, 'Description': None, 'FileSize': None, 'ExtentionBlocks': []}, {'ShellFolderId': None, 'ShellItemTypeHex': '0x0L', 'Identifier': None, 'Name': None, 'Location': None, 'Comments': None, 'ModificationTime': None, 'ShellItemTypeStr': 'item', 'ExtentionBlockCount': 0, 'Description': None, 'FileSize': None, 'ExtentionBlocks': []}, {'ShellFolderId': None, 'ShellItemTypeHex': '0x0L', 'Identifier': None, 'Name': None, 'Location': None, 'Comments': None, 'ModificationTime': None, 'ShellItemTypeStr': 'item', 'ExtentionBlockCount': 0, 'Description': None, 'FileSize': None, 'ExtentionBlocks': []}], 'ExtentionListing': '', 'ItemCount': 5, 'ParentRefStr': None, 'ParentEntryNum': None, 'RootFolder': [{'ShellFolderId': u'031e4825-7b94-4dc3-b131-e946b44c8dd5', 'ShellItemTypeHex': '0x1fL', 'Identifier': None, 'Name': None, 'Location': None, 'Comments': None, 'ModificationTime': None, 'ShellItemTypeStr': 'root_folder', 'ExtentionBlockCount': 0, 'Description': None, 'FileSize': None, 'ExtentionBlocks': []}]}
DRIVE_FIXED;	7e58-aab0	Windows8_OS	C:\Users\Donald\Documents\HighFiveBusinessPlanV20.docx	\\BIFROST\Users\Donald\Documents\HighFiveBusinessPlanV20.docx		fb3b0dbfee58fac8		HighFiveBusinessPlanV20.docx	docx	29	92abc06b11f16f499067ec5c94ffa9f5	98fa8fdc6b3ae311be8a24fd52566ede	92abc06b11f16f499067ec5c94ffa9f5	98fa8fdc6b3ae311be8a24fd52566ede	10/22/2013 16:33:23.142080	bifrost	C:\Users\Donald\Documents\HighFiveBusinessPlanV20.docx	10/21/2013 18:40:27.821180	10/21/2013 18:40:34.772638	10/21/2013 18:40:34.572502	cp1252				Archive;	82297						F:\SANS408\Donald_Blake_Evidence\C-Drive\Extracts\SANS408\p1-sys\jumplists\114461.Donald.fb3b0dbfee58fac8.automaticDestinations-ms	{'ParentLongName': None, 'DistinctTypesHex': '0x0L;0x1fL', 'ParentSeqNum': None, 'DistinctTypesStr': 'item;root_folder', 'FileEntries': [{'ShellFolderId': None, 'ShellItemTypeHex': '0x0L', 'Identifier': None, 'Name': None, 'Location': None, 'Comments': None, 'ModificationTime': None, 'ShellItemTypeStr': 'item', 'ExtentionBlockCount': 0, 'Description': None, 'FileSize': None, 'ExtentionBlocks': []}, {'ShellFolderId': None, 'ShellItemTypeHex': '0x0L', 'Identifier': None, 'Name': None, 'Location': None, 'Comments': None, 'ModificationTime': None, 'ShellItemTypeStr': 'item', 'ExtentionBlockCount': 0, 'Description': None, 'FileSize': None, 'ExtentionBlocks': []}, {'ShellFolderId': None, 'ShellItemTypeHex': '0x0L', 'Identifier': None, 'Name': None, 'Location': None, 'Comments': None, 'ModificationTime': None, 'ShellItemTypeStr': 'item', 'ExtentionBlockCount': 0, 'Description': None, 'FileSize': None, 'ExtentionBlocks': []}], 'ExtentionListing': '', 'ItemCount': 5, 'ParentRefStr': None, 'ParentEntryNum': None, 'RootFolder': [{'ShellFolderId': u'031e4825-7b94-4dc3-b131-e946b44c8dd5', 'ShellItemTypeHex': '0x1fL', 'Identifier': None, 'Name': None, 'Location': None, 'Comments': None, 'ModificationTime': None, 'ShellItemTypeStr': 'root_folder', 'ExtentionBlockCount': 0, 'Description': None, 'FileSize': None, 'ExtentionBlocks': []}]}
DRIVE_FIXED;	7e58-aab0	Windows8_OS	C:\Program Files\Microsoft Office 15\root\office15\WINWORD.EXE			fb3b0dbfee58fac8		WINWORD.EXE	EXE	7	00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000	10/21/2013 20:19:24.329871		ea61dd429b2c0cc1	09/23/2013 20:24:21.399667	09/23/2013 20:28:41.621819	09/23/2013 20:28:41.309315	cp1252	https://asgardventurecapital.sharepoint.com/Shared%20Documents/Business%20Plans/Cafe-Paradiso-business-plan.docx	https://asgardventurecapital.sharepoint.com/Shared Documents/Business Plans/Cafe-Paradiso-business-plan.docx		Sparse File;Archive;	1925280	%ProgramFiles%\Microsoft Office 15\Root\Office15\WINWORD.EXE	office15	5225	6		F:\SANS408\Donald_Blake_Evidence\C-Drive\Extracts\SANS408\p1-sys\jumplists\114461.Donald.fb3b0dbfee58fac8.automaticDestinations-ms	{'DistinctTypesHex': '0x32L;0x2fL;0x1fL;0x31L', 'ParentSeqNum': 6, 'ParentRefStr': '5225-6', 'FileEntries': [{'ShellFolderId': None, 'ShellItemTypeHex': '0x31L', 'Identifier': None, 'Name': u'PROGRA~1', 'Location': None, 'Comments': None, 'ModificationTime': '10/05/2013 20:35:38.000000', 'ShellItemTypeStr': 'file_entry', 'ExtentionBlockCount': 1, 'Description': None, 'FileSize': 0L, 'ExtentionBlocks': [{'LongName': u'Program Files', 'ExtentionBlockSize': 116L, 'LocalizedName': u'@shell32.dll,-21781', 'SeqNum': 6, 'EntryNum': 197634, 'FileReferenceInt': 1688849860461570L, 'AccessTime': '10/05/2013 20:35:38.000000', 'CreationTime': '08/22/2013 13:36:16.000000', 'Signature': '0xbeef0004L', 'RefNum': '197634-6'}]}, {'ShellFolderId': None, 'ShellItemTypeHex': '0x31L', 'Identifier': None, 'Name': u'MICROS~1', 'Location': None, 'Comments': None, 'ModificationTime': '09/23/2013 20:24:20.000000', 'ShellItemTypeStr': 'file_entry', 'ExtentionBlockCount': 1, 'Description': None, 'FileSize': 0L, 'ExtentionBlocks': [{'LongName': u'Microsoft Office 15', 'ExtentionBlockSize': 88L, 'LocalizedName': None, 'SeqNum': 15, 'EntryNum': 4229, 'FileReferenceInt': 4222124650664069L, 'AccessTime': '09/23/2013 20:24:20.000000', 'CreationTime': '09/23/2013 20:23:56.000000', 'Signature': '0xbeef0004L', 'RefNum': '4229-15'}]}, {'ShellFolderId': None, 'ShellItemTypeHex': '0x31L', 'Identifier': None, 'Name': u'root', 'Location': None, 'Comments': None, 'ModificationTime': '09/23/2013 20:24:22.000000', 'ShellItemTypeStr': 'file_entry', 'ExtentionBlockCount': 1, 'Description': None, 'FileSize': 0L, 'ExtentionBlocks': [{'LongName': u'root', 'ExtentionBlockSize': 58L, 'LocalizedName': None, 'SeqNum': 9, 'EntryNum': 5190, 'FileReferenceInt': 2533274790401094L, 'AccessTime': '09/23/2013 20:24:22.000000', 'CreationTime': '09/23/2013 20:24:08.000000', 'Signature': '0xbeef0004L', 'RefNum': '5190-9'}]}, {'ShellFolderId': None, 'ShellItemTypeHex': '0x31L', 'Identifier': None, 'Name': u'office15', 'Location': None, 'Comments': None, 'ModificationTime': '09/23/2013 20:40:10.000000', 'ShellItemTypeStr': 'file_entry', 'ExtentionBlockCount': 1, 'Description': None, 'FileSize': 0L, 'ExtentionBlocks': [{'LongName': u'office15', 'ExtentionBlockSize': 66L, 'LocalizedName': None, 'SeqNum': 6, 'EntryNum': 5225, 'FileReferenceInt': 1688849860269161L, 'AccessTime': '09/23/2013 20:40:10.000000', 'CreationTime': '09/23/2013 20:24:16.000000', 'Signature': '0xbeef0004L', 'RefNum': '5225-6'}]}, {'ShellFolderId': None, 'ShellItemTypeHex': '0x32L', 'Identifier': None, 'Name': u'WINWORD.EXE', 'Location': None, 'Comments': None, 'ModificationTime': '09/23/2013 20:28:42.000000', 'ShellItemTypeStr': 'file_entry', 'ExtentionBlockCount': 1, 'Description': None, 'FileSize': 1925280L, 'ExtentionBlocks': [{'LongName': u'WINWORD.EXE', 'ExtentionBlockSize': 72L, 'LocalizedName': None, 'SeqNum': 10, 'EntryNum': 7453, 'FileReferenceInt': 2814749767114013L, 'AccessTime': '09/23/2013 20:28:42.000000', 'CreationTime': '09/23/2013 20:24:22.000000', 'Signature': '0xbeef0004L', 'RefNum': '7453-10'}]}], 'Volume': [{'ShellFolderId': u'00000000-0000-0000-0000-000000000000', 'ShellItemTypeHex': '0x2fL', 'Identifier': u'00000000-0000-0000-0000-000000000000', 'Name': u'C:\\', 'Location': None, 'Comments': None, 'ModificationTime': None, 'ShellItemTypeStr': 'volume', 'ExtentionBlockCount': 0, 'Description': None, 'FileSize': None, 'ExtentionBlocks': []}], 'ParentLongName': u'office15', 'ParentEntryNum': 5225, 'DistinctTypesStr': 'volume;root_folder;file_entry', 'ExtentionListing': '0xbeef0004L;0xbeef0004L;0xbeef0004L;0xbeef0004L;0xbeef0004L', 'ItemCount': 8, 'RootFolder': [{'ShellFolderId': u'20d04fe0-3aea-1069-a2d8-08002b30309d', 'ShellItemTypeHex': '0x1fL', 'Identifier': None, 'Name': None, 'Location': None, 'Comments': None, 'ModificationTime': None, 'ShellItemTypeStr': 'root_folder', 'ExtentionBlockCount': 0, 'Description': None, 'FileSize': None, 'ExtentionBlocks': []}]}
DRIVE_REMOVABLE;	39c7-1beb	USB	F:\Templates\business_plan1.doc			fb3b0dbfee58fac8		business_plan1.doc	doc	47	00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000	10/21/2013 20:16:36.395256		F:\Templates\business_plan1.doc	10/21/2013 20:16:24.870000	10/21/2013 19:47:30.000000	10/21/2013 04:00:00.000000	cp1252				Archive;	153600		Templates	253312	0		F:\SANS408\Donald_Blake_Evidence\C-Drive\Extracts\SANS408\p1-sys\jumplists\114461.Donald.fb3b0dbfee58fac8.automaticDestinations-ms	{'DistinctTypesHex': '0x32L;0x2fL;0x1fL;0x31L', 'ParentSeqNum': 0, 'ParentRefStr': '253312-0', 'FileEntries': [{'ShellFolderId': None, 'ShellItemTypeHex': '0x31L', 'Identifier': None, 'Name': u'TEMPLA~1', 'Location': None, 'Comments': None, 'ModificationTime': '10/21/2013 20:04:18.000000', 'ShellItemTypeStr': 'file_entry', 'ExtentionBlockCount': 1, 'Description': None, 'FileSize': 0L, 'ExtentionBlocks': [{'LongName': u'Templates', 'ExtentionBlockSize': 68L, 'LocalizedName': None, 'SeqNum': 0, 'EntryNum': 253312, 'FileReferenceInt': 253312L, 'AccessTime': '10/21/2013 04:00:00.000000', 'CreationTime': '10/21/2013 20:16:24.000000', 'Signature': '0xbeef0004L', 'RefNum': '253312-0'}]}, {'ShellFolderId': None, 'ShellItemTypeHex': '0x32L', 'Identifier': None, 'Name': u'BUSINE~3.DOC', 'Location': None, 'Comments': None, 'ModificationTime': '10/21/2013 19:47:30.000000', 'ShellItemTypeStr': 'file_entry', 'ExtentionBlockCount': 2, 'Description': None, 'FileSize': 153600L, 'ExtentionBlocks': [{'LongName': u'business_plan1.doc', 'ExtentionBlockSize': 86L, 'LocalizedName': None, 'SeqNum': 0, 'EntryNum': 2494848, 'FileReferenceInt': 2494848L, 'AccessTime': '10/21/2013 04:00:00.000000', 'CreationTime': '10/21/2013 20:16:26.000000', 'Signature': '0xbeef0004L', 'RefNum': '2494848-0'}, {'ExtentionBlockSize': 44L, 'Signature': '0xbeef001aL'}]}], 'Volume': [{'ShellFolderId': u'00000000-0000-0000-0000-000000000000', 'ShellItemTypeHex': '0x2fL', 'Identifier': u'00000000-0000-0000-0000-000000000000', 'Name': u'F:\\', 'Location': None, 'Comments': None, 'ModificationTime': None, 'ShellItemTypeStr': 'volume', 'ExtentionBlockCount': 0, 'Description': None, 'FileSize': None, 'ExtentionBlocks': []}], 'ParentLongName': u'Templates', 'ParentEntryNum': 253312, 'DistinctTypesStr': 'volume;root_folder;file_entry', 'ExtentionListing': '0xbeef0004L;0xbeef0004L;0xbeef001aL', 'ItemCount': 5, 'RootFolder': [{'ShellFolderId': u'20d04fe0-3aea-1069-a2d8-08002b30309d', 'ShellItemTypeHex': '0x1fL', 'Identifier': None, 'Name': None, 'Location': None, 'Comments': None, 'ModificationTime': None, 'ShellItemTypeStr': 'root_folder', 'ExtentionBlockCount': 0, 'Description': None, 'FileSize': None, 'ExtentionBlocks': []}]}
DRIVE_FIXED;	7e58-aab0	Windows8_OS	C:\Program Files\Microsoft Office 15\root\office15\WINWORD.EXE			fb3b0dbfee58fac8		WINWORD.EXE	EXE	46	00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000	10/21/2013 20:05:35.340216		8323b258b5070ce5	09/23/2013 20:24:21.399667	09/23/2013 20:28:41.621819	09/23/2013 20:28:41.309315	cp1252	https://d.docs.live.net/7f095149027848ed/Documents/Articles/Jordan%20Boone%20Article.docx	https://d.docs.live.net/7f095149027848ed/Documents/Articles/Jordan Boone Article.docx		Sparse File;Archive;	1925280	%ProgramFiles%\Microsoft Office 15\Root\Office15\WINWORD.EXE	office15	5225	6		F:\SANS408\Donald_Blake_Evidence\C-Drive\Extracts\SANS408\p1-sys\jumplists\114461.Donald.fb3b0dbfee58fac8.automaticDestinations-ms	{'DistinctTypesHex': '0x32L;0x2fL;0x1fL;0x31L', 'ParentSeqNum': 6, 'ParentRefStr': '5225-6', 'FileEntries': [{'ShellFolderId': None, 'ShellItemTypeHex': '0x31L', 'Identifier': None, 'Name': u'PROGRA~1', 'Location': None, 'Comments': None, 'ModificationTime': '10/18/2013 00:28:36.000000', 'ShellItemTypeStr': 'file_entry', 'ExtentionBlockCount': 1, 'Description': None, 'FileSize': 0L, 'ExtentionBlocks': [{'LongName': u'Program Files', 'ExtentionBlockSize': 116L, 'LocalizedName': u'@shell32.dll,-21781', 'SeqNum': 6, 'EntryNum': 197634, 'FileReferenceInt': 1688849860461570L, 'AccessTime': '10/18/2013 00:28:36.000000', 'CreationTime': '08/22/2013 13:36:16.000000', 'Signature': '0xbeef0004L', 'RefNum': '197634-6'}]}, {'ShellFolderId': None, 'ShellItemTypeHex': '0x31L', 'Identifier': None, 'Name': u'MICROS~1', 'Location': None, 'Comments': None, 'ModificationTime': '09/23/2013 20:24:20.000000', 'ShellItemTypeStr': 'file_entry', 'ExtentionBlockCount': 1, 'Description': None, 'FileSize': 0L, 'ExtentionBlocks': [{'LongName': u'Microsoft Office 15', 'ExtentionBlockSize': 88L, 'LocalizedName': None, 'SeqNum': 15, 'EntryNum': 4229, 'FileReferenceInt': 4222124650664069L, 'AccessTime': '09/23/2013 20:24:20.000000', 'CreationTime': '09/23/2013 20:23:56.000000', 'Signature': '0xbeef0004L', 'RefNum': '4229-15'}]}, {'ShellFolderId': None, 'ShellItemTypeHex': '0x31L', 'Identifier': None, 'Name': u'root', 'Location': None, 'Comments': None, 'ModificationTime': '09/23/2013 20:24:22.000000', 'ShellItemTypeStr': 'file_entry', 'ExtentionBlockCount': 1, 'Description': None, 'FileSize': 0L, 'ExtentionBlocks': [{'LongName': u'root', 'ExtentionBlockSize': 58L, 'LocalizedName': None, 'SeqNum': 9, 'EntryNum': 5190, 'FileReferenceInt': 2533274790401094L, 'AccessTime': '09/23/2013 20:24:22.000000', 'CreationTime': '09/23/2013 20:24:08.000000', 'Signature': '0xbeef0004L', 'RefNum': '5190-9'}]}, {'ShellFolderId': None, 'ShellItemTypeHex': '0x31L', 'Identifier': None, 'Name': u'office15', 'Location': None, 'Comments': None, 'ModificationTime': '09/23/2013 20:40:10.000000', 'ShellItemTypeStr': 'file_entry', 'ExtentionBlockCount': 1, 'Description': None, 'FileSize': 0L, 'ExtentionBlocks': [{'LongName': u'office15', 'ExtentionBlockSize': 66L, 'LocalizedName': None, 'SeqNum': 6, 'EntryNum': 5225, 'FileReferenceInt': 1688849860269161L, 'AccessTime': '09/23/2013 20:40:10.000000', 'CreationTime': '09/23/2013 20:24:16.000000', 'Signature': '0xbeef0004L', 'RefNum': '5225-6'}]}, {'ShellFolderId': None, 'ShellItemTypeHex': '0x32L', 'Identifier': None, 'Name': u'WINWORD.EXE', 'Location': None, 'Comments': None, 'ModificationTime': '09/23/2013 20:28:42.000000', 'ShellItemTypeStr': 'file_entry', 'ExtentionBlockCount': 1, 'Description': None, 'FileSize': 1925280L, 'ExtentionBlocks': [{'LongName': u'WINWORD.EXE', 'ExtentionBlockSize': 72L, 'LocalizedName': None, 'SeqNum': 10, 'EntryNum': 7453, 'FileReferenceInt': 2814749767114013L, 'AccessTime': '09/23/2013 20:28:42.000000', 'CreationTime': '09/23/2013 20:24:22.000000', 'Signature': '0xbeef0004L', 'RefNum': '7453-10'}]}], 'Volume': [{'ShellFolderId': u'00000000-0000-0000-0000-000000000000', 'ShellItemTypeHex': '0x2fL', 'Identifier': u'00000000-0000-0000-0000-000000000000', 'Name': u'C:\\', 'Location': None, 'Comments': None, 'ModificationTime': None, 'ShellItemTypeStr': 'volume', 'ExtentionBlockCount': 0, 'Description': None, 'FileSize': None, 'ExtentionBlocks': []}], 'ParentLongName': u'office15', 'ParentEntryNum': 5225, 'DistinctTypesStr': 'volume;root_folder;file_entry', 'ExtentionListing': '0xbeef0004L;0xbeef0004L;0xbeef0004L;0xbeef0004L;0xbeef0004L', 'ItemCount': 8, 'RootFolder': [{'ShellFolderId': u'20d04fe0-3aea-1069-a2d8-08002b30309d', 'ShellItemTypeHex': '0x1fL', 'Identifier': None, 'Name': None, 'Location': None, 'Comments': None, 'ModificationTime': None, 'ShellItemTypeStr': 'root_folder', 'ExtentionBlockCount': 0, 'Description': None, 'FileSize': None, 'ExtentionBlocks': []}]}
DRIVE_UNKNOWN;	0000-0000			\\192.168.1.48\USERS\dblak_000\Documents\Articles\Jordan Boone Article.docx		fb3b0dbfee58fac8		Jordan Boone Article.docx	docx	44	1e389934d79236429fc979e377f2430a	f4973a5b8b39e311be82000af7048353	1e389934d79236429fc979e377f2430a	f4973a5b8b39e311be82000af7048353	10/21/2013 20:04:45.958870		\\192.168.1.48\Users\dblak_000\Documents\Articles\Jordan Boone Article.docx	10/21/2013 20:04:16.941634	10/21/2013 19:46:54.813631	10/21/2013 20:04:16.941634	cp1252			\\192.168.1.48\Users\dblak_000\Documents\Articles\Jordan Boone Article.docx	Archive;	76387						F:\SANS408\Donald_Blake_Evidence\C-Drive\Extracts\SANS408\p1-sys\jumplists\114461.Donald.fb3b0dbfee58fac8.automaticDestinations-ms	
DRIVE_UNKNOWN;	0000-0000			\\192.168.1.48\USERS\dblak_000\Documents\Articles\A Hubris Theory of Entrepreneurship.docx		fb3b0dbfee58fac8		A Hubris Theory of Entrepreneurship.docx	docx	43	1e389934d79236429fc979e377f2430a	f2973a5b8b39e311be82000af7048353	1e389934d79236429fc979e377f2430a	f2973a5b8b39e311be82000af7048353	10/21/2013 20:04:38.035390		\\192.168.1.48\Users\dblak_000\Documents\Articles\A Hubris Theory of Entrepreneurship.docx	10/21/2013 20:04:16.940634	10/21/2013 19:46:54.416672	10/21/2013 20:04:16.940634	cp1252			\\192.168.1.48\Users\dblak_000\Documents\Articles\A Hubris Theory of Entrepreneurship.docx	Archive;	89935						F:\SANS408\Donald_Blake_Evidence\C-Drive\Extracts\SANS408\p1-sys\jumplists\114461.Donald.fb3b0dbfee58fac8.automaticDestinations-ms	
DRIVE_UNKNOWN;	0000-0000			\\VALHALLA\USERS\Public\Documents\Articles\Jordan Boone Article.docx		fb3b0dbfee58fac8		Jordan Boone Article.docx	docx	42	1e389934d79236429fc979e377f2430a	89973a5b8b39e311be82000af7048353	1e389934d79236429fc979e377f2430a	89973a5b8b39e311be82000af7048353	10/21/2013 19:52:51.020530	valhalla	\\VALHALLA\Users\Public\Documents\Articles\Jordan Boone Article.docx	10/21/2013 19:46:54.635125	10/21/2013 19:46:54.813631	10/21/2013 19:46:54.635125	cp1252			\\VALHALLA\Users\Public\Documents\Articles\Jordan Boone Article.docx	Archive;	76387						F:\SANS408\Donald_Blake_Evidence\C-Drive\Extracts\SANS408\p1-sys\jumplists\114461.Donald.fb3b0dbfee58fac8.automaticDestinations-ms	
DRIVE_UNKNOWN;	0000-0000			\\VALHALLA\USERS\Public\Documents\Articles\DECISION MAKING CONTINGENCIES.doc		fb3b0dbfee58fac8		DECISION MAKING CONTINGENCIES.doc	doc	41	1e389934d79236429fc979e377f2430a	88973a5b8b39e311be82000af7048353	1e389934d79236429fc979e377f2430a	88973a5b8b39e311be82000af7048353	10/21/2013 19:52:44.470779	valhalla	\\VALHALLA\Users\Public\Documents\Articles\DECISION MAKING CONTINGENCIES.doc	10/21/2013 19:46:54.425004	10/21/2013 19:46:54.626965	10/21/2013 19:46:54.425004	cp1252			\\VALHALLA\Users\Public\Documents\Articles\DECISION MAKING CONTINGENCIES.doc	Archive;	154112						F:\SANS408\Donald_Blake_Evidence\C-Drive\Extracts\SANS408\p1-sys\jumplists\114461.Donald.fb3b0dbfee58fac8.automaticDestinations-ms	
